	reco_1	reco_2	reco_3	reco_4	reco_5	MSE_1	MSE_2	MSE_3	MSE_4	MSE_5	nb1	nb2	nb3	nb4	nb5	id	titre
0	10216.0	2157.0	6057.0	1165.0	5007.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Les Aventures de Tintin, tome 03 : Tintin en Amérique
1	3976.0	2995.0	409.0	4011.0	5811.0	14.5	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	Les Aventures de Tintin, tome 11 : Le Secret de La Licorne
2	11059.0	4154.0	6790.0	4649.0	10889.0	0.0	0.0	25.25	16.0	11.25	0.0	0.0	2.0	1.0	1.0	2	Les Aventures de Tintin, tome 17 : On a marché sur la Lune
3	8331.0	9152.0	8151.0	2149.0	5038.0	0.0	0.0	0.0	29.25	3.25	0.0	0.0	0.0	4.0	1.0	3	Les aventures de Tintin, Tome 6 : L'Oreille cassée
4	3893.0	465.0	709.0	9636.0	590.0	0.0	0.0	4.25	0.0	7.0	0.0	1.0	4.0	0.0	1.0	4	Les aventures de Tintin, tome 16 : Objectif lune
5	4751.0	3257.0	1569.0	3406.0	3939.0	18.25	0.0	16.25	0.0	0.0	2.0	0.0	1.0	0.0	0.0	5	Les Aventures de Tintin, tome 04 : Les Cigares du pharaon
6	3449.0	4759.0	956.0	6780.0	6432.0	0.0	0.0	0.0	9.0	9.0	0.0	0.0	0.0	2.0	2.0	6	Les Aventures de Tintin, tome 05 : Le Lotus bleu
7	2830.0	1279.0	8620.0	7729.0	7496.0	0.0	57.0	9.0	0.0	29.25	0.0	6.0	1.0	0.0	3.0	7	Les Aventures de Tintin, tome 12 : Le Trésor de Rackham le Rouge
8	7797.0	3700.0	8993.0	648.0	701.0	0.0	0.0	9.0	4.75	0.0	0.0	0.0	1.0	2.0	1.0	8	Les Aventures de Tintin, tome 07 : L'Île Noire
9	450.0	8213.0	375.0	6560.0	6301.0	0.0	0.0	46.25	0.0	0.0	2.0	0.0	7.0	0.0	0.0	9	Les aventures de Tintin, tome 22 : Vol 714 pour Sydney 
10	2309.0	1261.0	13.0	4214.0	8444.0	0.0	0.0	143.0	0.0	0.0	0.0	1.0	23.0	0.0	0.0	10	Les aventures de Tintin, tome 19 : Coke en stock
11	55.0	37.0	15.0	42.0	31.0	116.39172216453947	151.25	236.75419004589767	302.56408550334027	257.3136670418228	29.0	25.0	42.0	54.0	47.0	11	Astérix, tome 6 : Astérix et Cléopâtre
12	10872.0	5823.0	8594.0	10619.0	6307.0	0.0	16.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	12	Les Aventures de Tintin, tome 08 : Le Sceptre d'Ottokar
13	10914.0	41.0	50.0	53.0	56.0	9.0	177.75	183.25	218.88244181354307	153.75	1.0	25.0	24.0	24.0	23.0	13	Astérix, tome 1 : Astérix le gaulois
14	10828.0	810.0	8494.0	3705.0	2047.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	14	Les Aventures de Tintin, tome 9 : Le Crabe aux pinces d'or
15	37.0	31.0	42.0	55.0	30.0	226.75	214.47669652102056	239.9492029961435	153.9553892063623	153.0	34.0	37.0	41.0	37.0	33.0	15	Astérix, tome 20 : Astérix en Corse
16	10019.0	11154.0	6026.0	4705.0	1544.0	0.0	0.0	9.0	9.0	38.2620987984677	0.0	0.0	1.0	1.0	4.0	16	Les aventures de Tintin, tome 21 : Les bijoux de la Castafiore 
17	450.0	6517.0	1249.0	10578.0	1016.0	18.0	0.0	19.25	0.0	0.0	3.0	0.0	1.0	0.0	0.0	17	Les aventures de Tintin, tome 20 : Tintin au Tibet 
18	3565.0	73.0	8662.0	1466.0	10552.0	0.0	157.88977039492238	0.0	14.25	0.0	0.0	32.0	0.0	3.0	0.0	18	Les Aventures de Tintin, tome 02 : Tintin au Congo
19	3706.0	9262.0	8095.0	984.0	1994.0	0.0	0.0	0.0	10.75	10.75	0.0	0.0	0.0	2.0	2.0	19	Les aventures de Tintin, tome 15 : Tintin au pays de l'or noir
20	8771.0	1226.0	5264.0	9107.0	933.0	0.0	0.0	7.0	15.0	0.0	0.0	0.0	1.0	1.0	0.0	20	Les aventures de Tintin, tome 18 : L'Affaire Tournesol
